NeighbourhoodName,NeighbourhoodNumber,CMHCZone,rent2019,rent2020,rent2021,rent2022,rent2023,rent2024,CityZone,CenterLocation,CrimeOccurances,CrimeRate,WalkScore,TransitScore,BikeScore,Population,rent2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),NewResidentialUnits2023,NumCurrentListings,SupportiveHousingCount,SupportiveUnits,SheltersCount
Strathcona,5480,3.0,1157.0,1154.0,1155.0,1176.0,1229.0,1383.0,15.0,"(53.52239020329985, -113.4909855535488)",602.0,0.07,78.0,55.0,87.0,8404.0,1644,2.346771962,2.977291238,5.170851056,5.167051164,2.613920726,18,95,0,0,0
University of Alberta,5520,3.0,1157.0,1154.0,1155.0,1176.0,1229.0,1383.0,15.0,"(53.52357681357174, -113.52284716422139)",574.0,0.9,61.0,61.0,49.0,637.0,1195,0.2303176267,2.824836929,5.183873431,6.538970227,2.528585486,0,0,0,0,0
Windsor Park,5580,3.0,1157.0,1154.0,1155.0,1176.0,1229.0,1383.0,15.0,"(53.52407815950066, -113.53686248367437)",65.0,0.05,27.0,53.0,44.0,1254.0,1530,0.7020428564,3.231116768,5.458089426,7.257923124,3.008119676,10,39,0,0,0
Parkallen,5310,3.0,1157.0,1154.0,1155.0,1176.0,1229.0,1383.0,15.0,"(53.50309581321912, -113.51746134884462)",69.0,0.03,35.0,60.0,68.0,2144.0,1487,2.347873222,4.959283193,7.344606113,7.937363037,4.6167633,20,13,0,0,0
McQueen,3300,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,21.0,"(53.554938228106195, -113.57184249461682)",109.0,0.06,28.0,49.0,26.0,1693.0,1300,4.619097351,4.3476365,4.885985649,8.381677058,4.512170176,1,2,0,0,0
Parkview,3330,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,10.0,"(53.52406036577422, -113.56791414349783)",111.0,0.03,39.0,39.0,39.0,3322.0,1444,2.759351954,4.764275223,6.606931569,9.045482613,4.652804525,18,6,0,0,0
Glenora,3200,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,11.0,"(53.544904705240754, -113.55704251222033)",150.0,0.04,46.0,56.0,55.0,3547.0,1672,3.132807577,3.292736,4.507052404,7.574378648,3.36684543,28,7,0,0,0
Grovenor,3210,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,21.0,"(53.54539881342909, -113.57191166581072)",134.0,0.06,40.0,56.0,45.0,2337.0,1414,3.881765925,4.272916264,5.313382668,8.526820519,4.353742906,99,20,0,0,0
North Glenora,3310,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,7.0,"(53.5549408887816, -113.55826514910287)",105.0,0.05,35.0,55.0,50.0,1977.0,1252,4.088381394,3.469878833,4.039081254,7.484322271,3.653493581,52,8,0,0,0
Prince Charles,3350,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,4.0,"(53.57563545261752, -113.53600199095251)",222.0,0.16,45.0,48.0,44.0,1392.0,1311,5.83564163,3.678833958,2.412555238,6.227755101,4.030843645,32,13,0,0,0
Sherbrooke,3410,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,4.0,"(53.575663208477806, -113.5472856344579)",170.0,0.07,37.0,49.0,38.0,2478.0,1536,5.967408037,4.115091773,3.128071885,6.950018453,4.446852048,3,7,0,0,0
Dovercourt,3170,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,4.0,"(53.57572651757001, -113.55953411087015)",105.0,0.05,26.0,49.0,24.0,2151.0,1272,6.213483759,4.681222119,3.919077637,7.740306659,4.989444528,2,4,0,0,0
Laurier Heights,3270,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,10.0,"(53.51425496966398, -113.56933192828389)",77.0,0.03,24.0,38.0,32.0,2512.0,1365,3.033693381,5.503665023,7.513675386,9.660699438,5.336085915,9,0,0,0,0
Woodcroft,3450,4.0,1030.0,1029.0,1019.0,1057.0,1102.0,1184.0,7.0,"(53.56459542426348, -113.55832687208344)",669.0,0.25,43.0,55.0,24.0,2639.0,1391,5.039936298,3.880294773,3.778096588,7.48126023,4.139539153,0,3,0,0,0
Elmwood,4140,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.515738255479256, -113.60599332912918)",117.0,0.05,31.0,60.0,22.0,2545.0,1587,5.355202055,7.412160582,9.066615741,11.72315205,7.32447335,1,4,0,0,0
Jasper Park,4230,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.52307006685602, -113.58410530166327)",286.0,0.14,50.0,53.0,36.0,2019.0,1000,3.832897795,5.747114829,7.438460838,10.06329957,5.66389403,24,9,0,0,0
Meadowlark Park,4310,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.52553194474322, -113.59655415449808)",203.0,0.07,40.0,56.0,23.0,2811.0,1374,4.663453718,6.378901325,7.895446438,10.71943848,6.330483956,0,7,0,0,0
West Meadowlark Park,4590,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.52560545214229, -113.60905865145068)",373.0,0.1,37.0,60.0,27.0,3702.0,1509,5.492284122,7.150231216,8.565850507,11.49406674,7.11722333,0,3,0,0,0
Sherwood,4500,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.52910176694538, -113.58414504980918)",101.0,0.07,44.0,48.0,29.0,1363.0,1536,3.884919895,5.467030266,7.002173411,9.808898464,5.424069503,20,4,0,0,0
West Jasper Place,4580,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.53662987117308, -113.58414434574873)",458.0,0.15,44.0,57.0,33.0,3074.0,1300,4.10275105,5.215250529,6.511152601,9.545049207,5.227968143,64,23,0,0,0
Canora,4090,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,21.0,"(53.546193442280206, -113.58421460413187)",355.0,0.11,36.0,57.0,34.0,3358.0,1515,4.593899899,5.084751063,6.003498444,9.313002985,5.172177167,12,38,0,0,0
Britannia Youngstown,4060,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,21.0,"(53.54629461971565, -113.60151037109307)",457.0,0.1,36.0,55.0,29.0,4533.0,1150,5.592894301,6.230752413,7.059778118,10.44328249,6.318109159,13,13,0,0,0
High Park,4200,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,21.0,"(53.55498578225787, -113.5841992583502)",402.0,0.26,28.0,46.0,28.0,1561.0,1577,5.195121249,5.154049549,5.669426528,9.198413935,5.306823286,36,4,0,0,0
