Neighbourhood_Name,Neighbourhood_Number,CMHC_Zone,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,rent_2024,City_Zone,Center_Location,Crime_Occurances,Crime_Rate,Walk_Score,Transit_Score,Bike_Score,Population,rent_2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),New_Residential_Units_2023,Num_Current_Listings,Supportive_Housing_Count,Supportive_Units,Shelters_Count,
Southeast Industrial,6690,9,,,,,,,,"(53.49971414363941, -113.3746049513243)",154,,29,47,36,0,,10.40771597,10.28191289,11.37707164,8.213827391,10.02990411,0,0,0,0,0,
Lansdowne,5260,7,1269,1271,1295,1333,1410,1519,15,"(53.486625462961584, -113.54599669912204)",22,0.03,18,42,27,871,1499,4.308823918,7.214757481,9.565601892,10.54797383,6.911823788,0,7,0,0,0,
Edmonton Northlands,1120,10,,,,,,,,"(53.56837201419023, -113.45644612048426)",57,,56,59,48,0,,6.809602264,4.120603297,2.99586467,1.159724278,4.270669935,0,0,0,0,0,
Blatchford Area,1111,10,,,,,,,8,"(53.571984893651376, -113.51699744323864)",333,,59,64,59,0,"1,800.00",5.42921198,2.822449744,1.090783467,4.905771013,3.190514309,27,15,0,0,0,
Calgary Trail North,5110,7,1269,1271,1295,1333,1410,1519,41,"(53.49015648355935, -113.49406931149764)",1100,16.42,36,48,40,67,1389,4.28561563,6.417784508,8.724191301,8.426679977,6.05122831,0,0,0,0,0,
Brookside,5090,7,1269,1271,1295,1333,1410,1519,14,"(53.491831258270594, -113.56812781287422)",37,0.02,13,45,23,1511,1464,4.487021211,7.363013985,9.595295847,11.12616737,7.112997975,1,3,0,0,0,
Pleasantview,5320,7,1269,1271,1295,1333,1410,1519,15,"(53.49317552747084, -113.50713136307714)",303,0.08,71,60,68,3705,1532,3.609198127,6.01945987,8.381473441,8.496859888,5.661115319,14,12,0,0,0,
Lendrum Place,5270,7,1269,1271,1295,1333,1410,1519,15,"(53.49320004433957, -113.52280579656217)",97,0.05,63,65,46,1821,1600,3.382556505,6.101429978,8.487474369,9.039390473,5.763386273,1,0,0,0,0,
Brander Gardens,5080,7,1269,1271,1295,1333,1410,1519,14,"(53.495209495311215, -113.57942476354563)",65,0.03,34,43,45,2028,1359,4.726695901,7.503330768,9.641790698,11.44282803,7.285283864,0,4,0,0,0,
Industrial Heights,2360,10,,,,,,,,"(53.58098253108419, -113.43747298136987)",39,,41,43,36,0,,8.693356788,5.969208449,4.476456506,2.380010846,6.139170286,0,0,0,0,0,
Maple Ridge,6410,8,1099,1091,1090,1124,1129,1307,42,"(53.5020501605512, -113.36306273218038)",58,0.06,12,26,32,949,1750,11.09071744,10.82181215,11.79008204,8.47549898,10.58552012,0,0,0,0,0,
Argyll,6010,8,1099,1091,1090,1124,1129,1307,17,"(53.503100775120004, -113.46053882474749)",18,0.02,40,54,39,756,1289,4.920036433,5.819416743,7.76361828,6.426799196,5.473509429,1,1,0,0,0, 
Hazeldean,6290,8,1099,1091,1090,1124,1129,1307,17,"(53.504205803580085, -113.4778888991957)",136,0.05,66,40,65,2997,1587,3.865529864,5.179231093,7.31782539,6.584012701,4.816339907,7,10,0,0,0,
CPR Irvine,6110,8,1099,1091,1090,1124,1129,1307,41,"(53.507526689273476, -113.4905491361126)",193,1.12,36,48,40,173,1665,2.966221788,4.56324996,6.816368832,6.57065634,4.19527859,0,0,0,0,0,
Kennedale Industrial,2380,10,,,,,,,,"(53.590871253170405, -113.42337551614855)",328,,39,41,38,0,"1,437.00",10.13552444,7.39194271,5.756477262,3.723204716,7.571915183,0,0,0,0,0,
Mill Creek Ravine South,6492,8,1099,1091,1090,1124,1129,1307,17,"(53.50771159442151, -113.46483608309812)",9,0.02,52,54,30,591,1375,4.441751939,5.233444686,7.183550878,5.974292585,4.888551886,0,0,0,0,0,
Avonmore,6020,8,1099,1091,1090,1124,1129,1307,17,"(53.50777958181948, -113.45163097798653)",106,0.06,53,55,38,1906,1450,5.254986734,5.748704472,7.519518992,5.843359715,5.423737281,7,3,0,0,0,
